filename	refID	dokID	shortTitle	title
nl-16870415-000.xml	lov/1687-04-15	NL/lov/1687-04-15	Norske Lov – NL	Kong Christian Den Femtis Norske Lov
nl-17410217-000.xml	lov/1741-02-17	NL/lov/1741-02-17	Forbud paa Vimpel-føring	Forbud paa Vimpel-Føring
nl-17511002-000.xml	lov/1751-10-02	NL/lov/1751-10-02	Lappekodisillen	Første Codicill og Tillæg til Grendse-Tractaten imellem Kongerigerne Norge og Sverrig Lapperne betreffende (Lappekodisillen)
nl-17750608-000.xml	lov/1775-06-08	NL/lov/1775-06-08	Res. anggående jorddelingen i Finmark m.v.	Kongelig Resolution ang. Jorddelingen i Finmarken samt Bopladses Udvisning og Skyldlægning sammesteds
nl-18120225-000.xml	lov/1812-02-25	NL/lov/1812-02-25	Prom. ang. Territorial Grænse	Cancelli-Promemoria
nl-18140517-000-nn.xml	lov/1814-05-17	NL/lov/1814-05-17	Grunnlova (nynorsk) – Grl.	Kongeriket Noregs grunnlov
nl-18140517-000.xml	lov/1814-05-17	NL/lov/1814-05-17	Grunnloven (bokmål) – Grl.	Kongeriket Norges Grunnlov
nl-18450607-000.xml	lov/1845-06-07	NL/lov/1845-06-07	Lov om Perlefiskeriet	Lov om Perlefiskeriet
nl-18840614-003.xml	lov/1884-06-14-3	NL/lov/1884-06-14-3	Lov om undersjøiske kabler	Lov om beskyttelse av undersjøiske kabler og rørledninger utenfor sjøterritoriet
nl-18880623-003.xml	lov/1888-06-23-3	NL/lov/1888-06-23-3	Lov om Leilendingsgods tilhørende Stamhus	Lov indeholdende særlige Bestemmelser angaaende Leilændingsgods tilhørende Stamhuse og visse Stiftelser m.v.
nl-18930720-002.xml	lov/1893-07-20-2	NL/lov/1893-07-20-2	Vrakloven	Lov om Stranding og Vrag [vrakloven]
nl-18940721-005.xml	lov/1894-07-21-5	NL/lov/1894-07-21-5	Lov om Omordning af det civile Embedsverk	Lov om delvis Omordning af det civile Embedsværk
